,case_id,amtdebitincoming_4809443A,amtdebitoutgoing_4809440A,amtdepositbalance_4809441A,amtdepositincoming_4809444A,amtdepositoutgoing_4809442A
0,43801,12466.601,12291.2,914.2,0.0,304.80002
1,43991,3333.4001,3273.4001,0.0,0.0,0.0
2,44001,10000.0,10000.0,0.0,0.0,0.0
3,44053,0.0,0.0,2586.4001,0.0,88.8
4,44130,63.8,60.8,0.0,0.0,0.0
5,44171,51.8,26.6,0.0,0.0,0.0
6,44194,0.0,0.0,0.0,0.0,0.0
7,44230,0.0,0.0,0.0,0.0,3.0
8,44267,5000.0,5000.0,0.0,0.0,0.0
9,44309,0.0,0.0,0.0,0.0,3.6000001
10,44408,0.0,0.0,0.0,0.0,0.0
11,44440,10000.0,10003.4,0.0,0.0,0.0
12,44464,0.0,0.0,3058.0,0.0,352.0
13,44515,7666.6,7666.4,0.0,0.0,0.0
14,44544,0.0,0.0,1484.8,0.0,12.2
15,44549,460.0,460.0,0.0,0.0,0.0
16,44604,50000.0,20000.0,0.0,66.6,200133.4
17,44608,0.0,0.0,0.0,0.0,2.2
18,44708,26666.6,26654.0,0.0,0.0,0.0
19,44735,0.0,0.0,290.80002,0.0,2.4
20,44770,0.0,0.0,6199.0,0.0,50.8
21,44835,0.0,0.0,222.40001,0.0,1.8000001
22,44861,0.0,0.0,293.0,0.0,2.4
23,44863,0.0,0.0,926.60004,1333.4,26.0
24,44886,0.0,0.0,2062.0,0.0,15.400001
25,44965,0.0,0.0,0.0,0.0,0.0
26,44988,0.0,0.0,0.0,0.0,0.0
27,45037,33333.402,33333.402,0.0,0.0,0.0
28,45160,40.0,38.600002,0.0,0.0,0.0
29,45165,0.0,0.0,223.2,0.0,1.8000001
30,45424,0.0,0.0,1792.2001,0.0,14.6
31,45541,9404.8,9322.2,0.0,0.0,0.0
32,45571,0.0,0.0,428.80002,0.0,3.6000001
33,45574,0.0,0.0,319.6,0.0,2.6000001
34,45585,0.0,0.0,659.4,0.0,5.2000003
35,45610,0.0,0.0,219.0,0.0,1.6
36,45616,30003.0,29967.0,407.4,30203.0,30300.8
37,45696,11840.0,11800.0,0.0,0.0,0.0
38,45703,0.0,0.0,831.4,0.0,73.8
39,45716,0.0,0.0,5210.4,133333.4,261.4
40,45731,0.0,0.0,0.0,0.0,0.0
41,45732,0.0,0.0,4118.4,0.0,31.6
42,45835,0.0,0.0,0.0,0.0,0.0
43,45863,0.0,0.0,1140.6,0.0,9.400001
44,45873,5174.8003,5163.4,0.0,0.0,0.0
45,45877,0.0,0.0,2434.0,0.0,20.0
46,45937,0.0,0.0,614.2,0.0,5.0
