,case_id,amount_416A
0,225,0.0
1,331,260.374
2,358,0.0
3,390,203.602
4,390,223.68001
5,390,211748.53
6,445,0.0
7,445,0.0
8,445,0.0
9,445,0.0
10,445,23735.938
11,450,0.0
12,453,0.0
13,453,0.0
14,453,90463.195
15,582,827.77405
16,649,0.0
17,697,0.0
18,713,997.86
19,714,580.248
20,731,0.0
21,731,203.70401
22,731,232.658
23,739,56362.31
24,739,61464.438
25,1074,1296.3981
26,1084,9211.265
27,1091,272.252
28,1145,268.10202
29,1263,322.62802
30,1327,81039.29
31,1421,8078.642
32,1421,18036.451
33,1427,282.37
34,1515,1063.942
35,1661,0.0
36,1661,1097.6
37,1661,7840.0
38,1661,290339.44
39,1661,456000.0
40,1701,276.32602
41,1757,20695.428
42,1868,551.438
43,1887,0.0
44,1887,422.576
45,1887,3018.4001
46,1887,70561.9
47,1887,175560.0
48,1972,974.33203
49,2089,332.334
50,2101,0.0
51,2101,0.0
52,2101,0.0
53,2101,0.0
54,2250,52921.344
55,2393,0.0
56,2421,0.0
57,2421,0.0
58,2421,0.0
59,2422,263.252
60,2518,26759.938
61,2583,206.572
62,2659,0.0
63,2690,268.964
64,2702,0.0
65,2716,202.01
66,2781,52723.56
67,2908,403.776
68,2908,2199.902
69,3024,16976.771
70,3050,12293.646
71,3247,261.754
72,3271,0.0
73,3271,0.0
74,3271,1318.0
75,3456,202.008
76,3474,392.822
77,3482,273.448
78,3708,0.0
79,3719,206036.6
80,3886,0.0
81,3886,0.0
82,3913,467.034
83,3926,0.0
84,4093,557.486
85,4095,0.0
86,4095,0.0
87,4119,274.146
88,4119,274.146
89,4164,210.58401
90,4265,0.0
91,4428,0.0
92,4485,0.0
93,4485,402.116
94,4730,291.278
95,4745,0.0
96,4789,0.0
97,4789,61118.0
98,4789,84139.55
99,4875,134303.23
100,4993,0.0
101,5162,0.0
102,5172,201.44
103,5206,404.01
104,5228,278.988
105,5230,843.714
106,5291,0.0
107,5291,0.0
108,5291,0.0
109,5422,282.37802
110,5933,273.968
111,5980,0.0
112,6034,504.17404
113,6076,0.0
114,6076,204.814
115,6084,0.0
116,6138,0.0
117,6138,0.0
118,6138,198103.86
119,6187,202.00601
120,6242,8257.512
121,6674,153248.25
122,6728,203.91
123,6729,1047.722
124,6766,20334.373
125,6781,0.0
126,6781,0.0
127,6781,63157.01
128,6795,0.0
129,6795,219.93999
130,6795,833.62805
131,7093,0.0
132,7093,0.0
133,7093,2018.556
134,7175,0.0
135,7221,314.452
136,7283,319.526
137,7376,279.2
138,7425,8643.562
139,7430,0.0
140,7532,0.0
141,7617,0.0
142,7617,247.824
143,7691,2761.278
144,7779,70788.01
145,7829,1020.196
146,7831,338.272
147,7838,1054.08
148,7925,40562.824
149,7926,1209915.9
150,7985,0.0
151,7985,0.0
152,7985,255.038
153,7985,288.92
154,8089,539.232
155,8225,1625.3401
156,8409,8874.397
157,8538,0.0
158,8538,612.132
159,8591,1155.502
160,8610,2015.3661
161,8626,0.0
162,8650,477.96802
163,8714,5501.078
164,8767,6869.318
165,8816,56488.133
166,8956,0.0
167,8987,230.048
168,8987,1685.944
169,9058,0.0
170,9068,964.72406
171,9226,203.876
172,9258,0.0
173,9312,262.15802
174,9390,348.478
175,9419,0.0
176,9419,83184.73
177,9429,0.0
178,9429,0.0
179,9429,548.8
180,9429,3920.0
181,9429,228000.0
182,9429,279177.53
183,9454,289.994
184,9542,569.58
185,9620,0.0
186,9697,548.86804
187,9768,46459.004
188,9824,1090.5741
189,9847,280.62802
190,9906,3864.8699
191,9972,401.72
192,10105,0.0
193,10105,0.0
194,10105,0.0
195,10105,0.0
196,10178,0.0
197,10178,0.0
198,10379,272.844
199,10406,202.008
200,10523,300.12802
201,10554,457.426
202,10624,0.0
203,10624,0.0
204,10691,204.03801
205,10773,0.0
206,10773,610.908
207,10844,2199.03
208,10845,1403.874
209,10925,0.0
210,10933,605.648
211,10935,0.0
212,10950,286.808
213,10997,0.0
214,11013,1579.86
215,11129,0.0
216,11178,276.22202
217,11201,0.0
218,11226,0.0
219,11226,3089.75
220,11303,3301.3281
221,11307,240.116
222,11385,9326.326
223,11541,0.0
224,11651,0.0
225,11651,378.306
226,11663,0.0
227,11666,0.0
228,11676,0.0
229,11676,0.0
230,11733,2199.03
231,11733,2199.03
232,11733,2199.03
233,11772,812.468
234,11812,95014.805
235,11901,16545.299
236,11990,263.854
237,11990,275.042
238,11990,2347.35
